Username,sentiment
0137q2KPiMUzIxN,0.5
05Swity,0.400000006
06Syedaliahsan,0.300000012
0708Joseelias,0.100000001
0MAR_N0UR,0
1TommyD1,-0.200000003
1andresram,0.300000012
1blessedhoss,0.100000001
29665342ww,0.300000012
2l5OLQCbDRZyw9I,0.300000012
3mmar_3li_0,0.300000012
3mostafa_,0.300000012
4VvG8WfKTwTHraC,0
4byss007,0.699999988
63vwrat,0
656Diag,0.300000012
78419Htt,0.100000001
7dbf97b3911b451,0.300000012
8ntitgrate,0.200000003
9bladez,0.100000001
AB_rath0d,0.300000012
ADX_19,0.100000001
AFAQAHM65667383,0
AFC_A_S,0
AIA2656,0.200000003
ALELE85513828,0.600000024
ALEX335500,0
AMaher64,0.100000001
ARANSARI0,0.100000001
ATOMOS1istaken,-0.600000024
AYOMIDEFADIPE5,0.100000001
A___Leader___S,0.300000012
Aahadansari2187,0
AakarshKamboj,-0.200000003
AanuvabG,0
AarnDaniels1,-0.100000001
AaronEhMunro,0
AaronUong,-0.800000012
AbassJolaiya,0.5
AbdulSamad0009,-0.300000012
Abhishe92288255,-0.400000006
Abhithakur1000,0.300000012
Aboutinco,0.100000001
Abowaad_Mostafa,0.300000012
AckeenLawrence,0
ActuaryBenjamin,-0.5
Adam_Martinez99,0.200000003
AdexC7,-0.300000012
AdmiralKarlLSc2,
AdnanShahid571,-0.100000001
AdrianP60125256,-0.400000006
Adrianov1995,0.200000003
AgFVtBTs7L2pXwR,0
AghoshPrasannan,0.300000012
AgwazaBadde,-0.200000003
AhmadAh25687390,0.300000012
AhmedNishan17,0
Ahmerd_suleman,-0.600000024
Ajay4suresh,0.800000012
Ajuchoudhary000,0.300000012
AkbarBinUmer,0
Ake98731816,0.300000012
AkhikAziz,0.300000012
Akmal87604990,0.300000012
AkramIbneSiraj,0
Alancheung819,0.300000012
Alassttorr,0.300000012
AlbertaRistine,-0.300000012
AlcaraJonatas,0.400000006
AleNoguera23,0.300000012
Aleja_Osorio_C,0.400000006
Alejandro_pina,0.200000003
AlessandraRises,0.100000001
AlexTweets_321,0.100000001
AliShahriarzade,0.699999988
AliShay05962332,0.100000001
AlianElonHusain,0.800000012
Alis_Navadiya_,-0.200000003
Aliyanaws,0
AllanDePrince2,-0.200000003
AlstonZhan,0.699999988
AlyJera,0
AmalBobaker,0
AmoghGowda89,-0.699999988
AnatanRigo,0.300000012
Anderso22355605,0.300000012
AndradeCrr,0
AndrewFalce,0.5
Andriobrandao88,0.200000003
AniketJ89556311,0.899999976
AnjaliK29763971,0.300000012
AnnaClaRAkyym,-0.5
Anshuman9142,0.300000012
AnthonyRothis,-0.5
AnthuamNazzer,0
AnurakNuyim,0.600000024
AnyRoy9,0
AparcedoC,0.300000012
Apple_jp222,0.300000012
Arbaz__far00q,-0.200000003
Archana21184152,0.800000012
Arijoseoficial,0.899999976
Arish19102271,0.300000012
Armando37386677,0.600000024
ArmandoBR,0.100000001
ArmandoYepez6,0.200000003
Arsalwnm,0.300000012
ArsenijAhmadal1,0
ArshadbalochPTI,-0.100000001
AruArzan,0.899999976
ArwynBurrowes,0
AryanParekh1117,-0.300000012
ArzoMike,0.400000006
AsamaRani03,0
AshiqBh48137016,0.5
AshmitSardiwal,0
Ashok85774515,0.100000001
Ashwaq7008,0.100000001
AsifKhanAdnan,0.600000024
AsraPVP,0.300000012
AtayHashus,-0.100000001
AustinJimmy3,0.800000012
AutaShagi,-0.100000001
AviShoumik,-0.100000001
Avishek2308,0
Ayaazkh18,-0.400000006
AymanHis,0.300000012
AyoobAlpha,0.699999988
BALAM79543533,0
BASILEL67272711,0.200000003
BChiwandu,0.699999988
BO8178,0.200000003
BSagnoh,0.100000001
BabbuKuk,0.200000003
BadMUTerEffer,0.100000001
BakhshiAmirrr,0.300000012
Bala89647456,0.899999976
BallsDeeptheone,0
BanjoThreeie87,0.400000006
BarbieJ91218222,0.400000006
BartekWerty,0.300000012
BasuNarendra1,0.300000012
Bbrasays,0
BeHappy43941041,0.699999988
Beerbabaaa,0.400000006
Bhabin070,0
Bhavika92304708,0.699999988
BhunnooAthar,0
BigmanShawn_,0.200000003
BillCjcbill,0.300000012
BohdanMykytey,0
Bonanilaskar27,-0.400000006
BorgeadvAlvaro,0.100000001
BoubouRahim,-0.600000024
Brandonedwards,0.300000012
Brau_23,0.200000003
Brayanluis262,0.300000012
Brayden__Stark,0.600000024
Bruncastell58,0.100000001
BtsSafoo,0.300000012
BtvMatthew,0.300000012
BundyNurhyeal,-0.300000012
BunthaiMeas,-0.200000003
CAngulomorales,0.100000001
CHANDRASHISH17,0.899999976
CHW4everyone,0.300000012
CadburyAchu,0.100000001
CalebConner_AL,0.200000003
CamTajik,-0.100000001
Camilesuc,0.300000012
CamiloAventure,0.300000012
CapXcV66GFN59HA,0.300000012
CarlosZ80803050,-0.5
Carlosm12160314,0
Carlosmusico22,0.600000024
CarolineNyazika,0.100000001
Carterwood22,0.200000003
CaseyKco,0
CassieEdwardso5,0.600000024
CatalystEx,0.300000012
CesarE0423,0.699999988
Chandru033,0.300000012
CharlesMukalaz1,0.100000001
Charlot27694242,0.899999976
ChernetTerefe3,0.400000006
CherryiesR,-0.200000003
Chi22642650,0.800000012
ChonghaoZhao,0.100000001
Chrisdraxler59,-0.400000006
Christo09512223,0.400000006
Citlali28062346,-0.200000003
Claudio_Ciccone,0.100000001
Claus_Discher,-0.300000012
ClumsyCigars,-0.200000003
Comrhyper,-0.100000001
CrystalRoubiqu7,0
CyberDelcapone,-0.400000006
DARKWAGEORGEAT1,0.699999988
DMac9965,0.300000012
DOCTOR_0911AJEJ,
DQ_Dragon,0.200000003
DQ_X_RACCO,0.400000006
DQ_X_SEABASS,0.300000012
DRMOHMM51640316,0.200000003
DSangchai,0
DSoleSurvivor,0.100000001
DYRNU_CA,0.200000003
DaddyMyco1991,
DagarguliaGoga,0.100000001
DaisyZulu2,-0.200000003
DamienRL1972,0
Daniel90419023,0.300000012
DanielAndrews64,0.800000012
DanishDanesh,0
DannyC397,0.699999988
Dany_12Esquivel,0.600000024
DarescuMarius,0.899999976
DarkSeedX,0.200000003
DarrellRyle,0
DashaTa91868718,0.300000012
Dashraf101,0.899999976
Dave71460927,0
DavidBernalRuiz,0.899999976
DavidGnuEC,0.100000001
Davidkhual1989,0.600000024
Deeniekuf,0.100000001
DeepanshuDuggal,-0.300000012
Deepu60378722,0.400000006
Degiro101,0
Delfinaci1337,0.400000006
Delroy74836038,-0.300000012
DerSchleich,0.200000003
Dev_Hills_,0.300000012
Devki_national,0.200000003
DhahranRankin,0.899999976
DianaACosma,0.600000024
DiegoSM1986,0.100000001
DierickxJeroen,0.5
Dioguin92,0.300000012
DipaardiH,0.600000024
DogeVinoth,0
DonnaBr05618769,-0.200000003
DoreathaLiska,0
Dr_conglo,0.400000006
Dre8516,-0.100000001
Duisburger47169,0
DulceMariia1992,0.100000001
DunamisClement1,-0.300000012
Dutchman647,0.5
DwinCrypto,0.200000003
DyslexicConnect,0.300000012
EG_ROOTS,0.200000003
EKalathur,0
EVE_twins,0
EYT_34_MURAT,0
EdcarlosBarbo15,0
EdgarPeuela7,-0.100000001
Edison111222,0.899999976
EduMaciel19,0.699999988
EdwardL20557835,0
Edwardstarmoon,0.5
EdwinaP76714439,0
Eeric_Chatmon,0.100000001
EhtishamChoudh8,0.300000012
EkvbgJDOY0sdjhd,0.100000001
Elenafutkaradze,0.300000012
EliteBoy01,0.899999976
Elmrabet_Abde,0.100000001
EmanuelAmaya8,0.899999976
EmilyKilmer5,0.200000003
Emmanue82445119,0.200000003
EnesGnd43380285,-0.200000003
Envirolife4,0
Epilefvasil,0
ErShivam89,0
ErSurajBhan,0
Erhardgutreden,0.100000001
EshwarPkt,0.600000024
EspinoEdd,0.100000001
Esuper33377777,0.200000003
EtJourneman,0.5
EthenDavis2004,
EvandroCalanca,0
FABENDERJanChr1,0.100000001
FAROCURI,0.300000012
FShahabeddin,0.300000012
FTgh6X96vSR4TWh,0.400000006
FahadIbnShahid,0.400000006
FaheemPanhyar,0.600000024
FaizShahnawaz1,0
FardeenFKhan,0.200000003
FarizAbdulAziz7,-0.5
FaroukBenAyoub,0
FedUPGrandmaNY,0.200000003
FelipeM83740420,0.200000003
FengJing12345,0
Fenicelettronic,-0.5
Feralucha,-0.100000001
Fetko13,-0.100000001
FilippoPandin,0.200000003
FirmanAndree,0.300000012
Floyderwagen,0
Flufy02178527,0.300000012
FlyGues,0.5
Fq5rYUKehv0au0O,0.300000012
FranCudina,0.100000001
Francoperona1,0.300000012
FrantzGucci1,-0.200000003
Frederi00933344,0.300000012
FreeMeFreeWorld,0.300000012
Fu_Yu_0501,0
G4LV1N,
G95Cristian,0
GCcastillo121,0.100000001
GDXALK,0.200000003
GObianagha,0.800000012
GRBATA,0.400000006
GabriuskSouto,0.100000001
Galaxy71900234,0.100000001
GamerSaint4,0.300000012
GaneshG_333,0.300000012
Garkz34,-0.100000001
GarthwaitNancy,0.200000003
GaryOdd,0.400000006
GauravC46392832,0.5
Gdczlmh,0.600000024
GeForce256_,0.100000001
Gedavray,0
Gegeferreirah,0.5
Geniusesque,0.200000003
Gerardo46058322,0.200000003
GhostPr41928109,0.200000003
Gillstyle37,0.300000012
GilsonL87672416,0.400000006
Giripra47511912,0.699999988
GiuliaSpinell15,0.100000001
