Username,sentiment
Bella74746441,-0.200000003
BenHaim6297,0.300000012
BenSixTen,-0.200000003
BenTruo63592022,0.600000024
BenjaminBaca7,-0.400000006
BensWildPitch,0.200000003
Bensworld213,-0.300000012
BerkUydurucu,0
BernheimRon,0.600000024
Bernsarella,0.400000006
BetaChris,0
BgCookn,-0.300000012
BhadboyWestBs,-0.300000012
BhuvanGubbi,-0.100000001
Bibhavk49647642,0.200000003
BigAkhAbdul,0.300000012
BigFellaDan2,0.100000001
BigGame901,0
BigIrish_52,0
BigSEXYIrma,0.400000006
BigSkyWrestling,0.100000001
Big_Damilare,-0.200000003
Big_Drewski1980,0.300000012
Biglove150,0.300000012
Bilal24680Hasan,0
Billu0422,0
Biscuit4178,0.300000012
Bismarc44303256,-0.699999988
BlackAtheist22,-0.300000012
BlackCEO8,0.100000001
BlaiseMenemene,0.300000012
BlaizeEmry,-0.100000001
Blaze56603024,0.200000003
BlondeBlonde395,0.400000006
BluntzMandy,-0.400000006
Boitu_Clemy,0.699999988
BoldNBrash202,-0.200000003
Boluwat1Duntoye,-0.100000001
Bonzcustom,0.300000012
BooklovingG,0.200000003
Border_Cowboy,-0.5
BoricuaAlma729,-0.100000001
Bormelddow,-0.400000006
BoyzGuyton,0
Boz_2_Boz,-0.400000006
Bradymom4,0.5
BrajanKot,0.100000001
Brandon72394425,0.400000006
BreannaSavage2,0.300000012
BreckGeeks,0.400000006
BrenanBiker,0.100000001
BrianCoy15,0.300000012
BrianDColwell,0
BrianWa55882459,0.699999988
Brianbrasso1,-0.300000012
Brianna_virgo,0.899999976
BriansToyChest,0.300000012
BriennaC7,0.400000006
BrittanyDoerfl2,0.200000003
BryantGregg7,0
BrzNathy,0.100000001
Bulldogs8540,-0.300000012
BunnyOshka,0.5
Burnrubber1984,0.5
BurritoRoblox,0
C00king2Live,0.100000001
CDub28023957,0
CHANDRABOSEMAD4,0.800000012
CHEAPELL_,0.200000003
CHIJIOKE013,
CPORT925,0
CSRACribb,-0.100000001
CURTISSCOTT1982,0.400000006
CYPRIAN29431026,-0.300000012
Caiden876,-0.800000012
CalisoMarjy,0.600000024
Calva12345,0.200000003
CamilleBotman,0.400000006
CamiloS89640481,0.100000001
CanhNam07,0
Canvolt1,0.5
CarlaXime1974_,0
CarlosS75854443,0.300000012
CarlsonHarrison,0
Carmen49411215,0.200000003
CarolinaGarcao7,0.400000006
Catheri4032,0.800000012
CavidQu80090815,
Ceedeeplayer,0.100000001
Champagne_Lifa,-0.300000012
CharlesAdom17,
CharlesAruan3,0.100000001
CharlesKern1073,0.400000006
Charleslubega21,0.100000001
ChasenUnique,0.400000006
ChelsVirgo2022,0.800000012
ChelseyOkoro,0.5
CheyenneDiddle,0.200000003
ChicnSavvy,0.5
ChidubemOketa,0.800000012
Chitra07287877,0.800000012
Chom_oo4,0.300000012
Chp__1,0
Chris02756706,
Chrisnateandle1,0.300000012
ChristinaBlohm3,0
Chud1999,-0.100000001
Chummyltd2,-0.300000012
Chykhah1,0.300000012
CindisParadise,0.400000006
CleckRamarumo,0.100000001
ClintHill172,0.100000001
ClintonEBrecke5,-0.200000003
ClutchCargo8,-0.100000001
CoastalDogWalks,0.200000003
Coconutmom1,0.300000012
CodKazuo,-0.100000001
CodyNelson12345,-0.100000001
CollectsNikki,0.5
Conner3242,-0.5
ConnieLauffer,0.300000012
Contestore,0
CordKnotted,0.200000003
CoreyLFREY2,-0.100000001
CorinneEisenst1,0.200000003
CorrinePollich,0.300000012
CrawshawTiny,0
CryptoChamberC,0.100000001
CuinetBaptiste,0.5
Cutekits3,0.100000001
Cybersoul95,0.300000012
DAVID_E_D_S,0.300000012
DESHA__M7,0.200000003
DEVENDRACHINDA8,0.200000003
DIAMONDMARKSMA2,0.200000003
DJRICILOC,0.100000001
DLHeartrain,0.300000012
DMetarah,0.200000003
DRE_ADENIYI,-0.800000012
DStephalex,
DahamiShehara,0.300000012
DaintyMae2,-0.100000001
Daisy_KV_1,0.100000001
DallasSylveste4,0
DaltonMaksymch1,0
DanSerbanescu4,0.300000012
DanaMoo73602002,0.200000003
Danfodio_03,0.100000001
Daniel35578172,0.300000012
DanielDeppner4,0
DanielL06555927,-0.5
DanielP32407513,0.400000006
Daniyal_775,0
DariusPatrickP1,0.100000001
Darseahorse,0.300000012
DavidUrquilla5,0.300000012
DawillexM,-0.699999988
DawnGeers,0.400000006
DawnRooneyCeleb,-0.400000006
Deb55106,0.600000024
DebraFawcett4,0.5
Delfino60730856,-0.100000001
DeloisEgglesto3,0.899999976
Demahassa,0.200000003
DeniseD02745788,0
Denzelsalazar1,0
Deontae__152,-0.200000003
DerrickYusuf,0.699999988
Detective_081,0.400000006
DevanGrimaldos,0.300000012
DeveraKayleen,0
DevinFinlay,-0.200000003
DexrnZacAttack,-0.200000003
DhahriIlyes,0
Dheeraj90771849,0.300000012
DhruvPa72112958,0.200000003
DiAnneLytle2U,0
DianaBrooklyn1,0.300000012
DiannaRoper,0.400000006
Didine_didream,-0.100000001
Diego01795158,0.300000012
DiegoSamKnowNot,0
DigitalInbound_,0.300000012
Dikofrank1,0
Dilipku99916220,0
Dilshan_bro2022,-0.300000012
Dilsher63519994,0.200000003
DjGenius256,0
DlTKKocjBOyVHU0,0.200000003
DoYaHomeworkk,0
DocHopkins,0
Dogelon16,0.899999976
Dogelonmars2023,0.400000006
Domakidis4,0.200000003
DomunikObryan,0.600000024
DonJMacc,-0.300000012
DongHilado,0
Dongabby889,0.400000006
DonnaHa63816382,0.899999976
DonnaMorrett,0.300000012
DonnyDowns2,0.400000006
Dotg0d,0
DozzyTalksCars,0.100000001
Dpilio1,0.200000003
DrMacinyasha,-0.100000001
DrRahulAravind,0.300000012
DrSarahB,0.100000001
DracoLoki,0
Draxeon7,-0.200000003
DrinkerCoke,0.400000006
Drvirus1230,-0.200000003
DtrainGaming,0.100000001
DylanDa56685134,0
DylanL12887411,-0.300000012
ELIZEUMACIELDA3,0.300000012
ELVIEJOSEBASS,0.100000001
EMBOCEO,0.800000012
ETAuthority,0
EUChDSW24SAHreA,0.100000001
EagletGid,0
Eb_runnerbean,0
EbohonKelly,0
EboseleEjeregbe,0.100000001
Eclecticzebra,0.200000003
Eduardo62598040,0
EduardoAPG_,0
EduardoMbule,0.899999976
Eduardo_1393,0.100000001
EdwinKo70686157,-0.100000001
EekaKentala,0.800000012
Efren_702,0.899999976
Egisyukran11,0.5
El_morray,0
ElectricLG,0.300000012
ElectricStocks,-0.100000001
Eleuthera1,0.5
Elewsiv,0.100000001
ElisabethNkela,0.699999988
Elizabe36197182,0.5
ElizabethBolla1,-0.100000001
ElizaraeRoberts,0
Ellatee684,-0.5
ElyChei76076640,0.5
Elyas04597108,0.300000012
Emeka64918922,0.5
EmekaEd45515195,0.400000006
EmilyPrep,0.300000012
EmmamuelMayowa,0
Emman_ik,0.400000006
EmperorFamous,-0.400000006
EndFederal,0.200000003
EniolaMustaph12,0
EppyDean6,
EricAquino2022,0.699999988
Erick5799G,0.800000012
Esau73444278,0.300000012
EsomonuBrian,0.100000001
Esteemed_Evil,0.800000012
Eugenia2win,0.600000024
EveHaZohar,-0.100000001
Evolve53006681,-0.300000012
Ewatomiii_,0.400000006
EwoodAtl,0.300000012
Expendables009,0.200000003
EyadAmi15313587,0.100000001
Ezekiel48040526,0.300000012
EzenwaJoseph01,-0.100000001
F6A6Rs,0.300000012
FARIDBADY,0
FERGIE_KIM,0.300000012
FREEMODIVATION,0
FabiAntunes83,0.5
Faheemullat,0.100000001
FahimaA65640606,0.300000012
FaisalJutt0809,0.200000003
FansOCopperFire,0.100000001
FarhanC37465480,0.300000012
