Username,sentiment
0452_411,0.200000003
06SA04TO06SI04,0.300000012
080171sb,0
0923Model,0.100000001
111_jimy,0
11Bhavikk,0.100000001
1Mardelotus,-0.600000024
2005esb,-0.100000001
26_study,0
2HI7tsg3GXFbezb,0.100000001
2pacamuru25,0.400000006
4LAlone,-0.800000012
4UzjjqLKWKpwunB,0.300000012
4ntmkOJ5kMFQoqb,0.100000001
520wdyx,-0.300000012
5cXcvBURzslLofx,0.300000012
63474deebe22405,0
6Cq2oKvw9g1U4RG,0.300000012
6b4cgdjzm7,-0.200000003
7azGExGDlGvB69R,0.300000012
9SlRnSyUbMcU6Vg,0
9more_,0.600000024
ABHINAV4143,0.300000012
AJAYKSINGH100,-0.100000001
AJhonnyOficial,0.400000006
AKALboss22,0.300000012
AKKJeromemenon,-0.100000001
ARUN00W,0.400000006
ARUNNILGIRIS5,0.600000024
ASHWINIKANEKAR,0.300000012
AWhit_x5,0.300000012
Aaron_Don19,-0.300000012
AaryaUrvashi,-0.200000003
Abdirahman4072,0.699999988
Abinash62365010,-0.300000012
Adam32475259,0
Adarsh_2004__,0.400000006
AdgokarNikhil,0.300000012
AdityaP51154169,0.100000001
AdityaS73592254,-0.100000001
Adityasusrname,0.200000003
Adriano15875241,0.5
AfricanStoner_,0.100000001
Ahamed__Sunny,-0.400000006
AhmedAd20979261,0
AhmedRe39039271,0.400000006
Aiman_Fendu,0.400000006
AjayPal23235514,-0.200000003
Ajharul68234641,0.300000012
Ajithku27811523,0
Ak07258216,0.800000012
AkashHendiga,0
AkbariAHamid,0.200000003
Akeem34987743,-0.800000012
AkkemikMetin,0.300000012
AlankritSingh9,-0.200000003
AlexHe00880585,0.300000012
AlexPowell17,0.200000003
Alishgurung77,0.100000001
AlizadeMihan,0.300000012
AllenChan15,0.5
AlokSin27052838,-0.5
Anaaleia,0.400000006
Anagrosso17,0.899999976
Anderso12994385,0.200000003
Angela_beckham3,0.600000024
AnilVardaat,0.300000012
Animediscussio4,0.800000012
Anirudhiyercs1,0.5
Anjanshre,0.100000001
AnkitshanuMum,-0.400000006
AnnamariaBonac1,0.300000012
Anthony64174223,0.800000012
AnujKum63705091,-0.100000001
AnuskaDe2,-0.300000012
ArafatH63323401,0.300000012
ArchnaNautiyal,0
ArefZandi_,0.200000003
AriloMejia,0.300000012
ArnabDe007,0.600000024
Arshdee58573609,0.300000012
Artisticcreato2,0.300000012
AsAkbarsha,0.300000012
AshiqRa57589855,0.300000012
AshishJ49243942,-0.400000006
