Username,sentiment,American Football,Apparel,Arts & Entertainment,Autos & Vehicles,Basketball,Beauty & Fitness,Beverages,Books & Literature,Business & Industrial,Business Services,Candy & Sweets,Celebrities & Entertainment News,Computer & Video Games,Computer Hardware,Computers & Electronics,Consumer Electronics,Cooking & Recipes,Education,Energy & Utilities,Events & Listings,Face & Body Care,Family & Relationships,Finance,Food,Food & Drink,Gambling,Game Systems & Consoles,Games,Gifts & Special Event Items,Government,Health,Health Conditions,Hobbies & Leisure,Holidays & Seasonal Events,Home & Garden,Humor,Individual Sports,Internet & Telecom,Jobs & Education,Law & Government,Medical Facilities & Services,Military,Mobile & Wireless,Mobile Apps & Add-Ons,Mobile Phones,Movies,Music & Audio,News,Online Communities,Online Media,Online Video,People & Society,Pets,Pets & Animals,Politics,Public Safety,Reference,Religion & Belief,Restaurants,Science,Sensitive Subjects,Shopping,Snack Foods,Soccer,Social Issues & Advocacy,Software,Special Occasions,Sports,Sports News,TV & Video,TV Shows & Programs,Team Sports,Travel,Urban & Hip-Hop,INFJ,ENTP,INTP,INTJ,ENTJ,ENFJ,INFP,ENFP,ISFP,ISTP,ISFJ,ISTJ,ESTP,ESFP,ESTJ,ESFJ,Credit & Lending,Cricket,Currencies & Foreign Exchange,Infectious Diseases,Lottery,Merit Prizes & Contests,Service Providers,Accounting & Auditing,Banking,Baseball,Home Appliances,Home Furnishings,Kitchen & Dining
0x_epic,0.400000006,0,0,4,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-06,3.88E-05,3.65E-06,0.000263846,1.11E-05,6.99E-06,0.000102833,2.31E-05,3.56E-07,0.0008148,0.008452795,0.99021107,1.50E-06,1.28E-06,1.65E-05,4.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
AkashAltair,0.300000012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006548367,0.158169717,0.010226253,0.009915858,0.000578771,0.014374795,0.002782637,0.020982621,0.099227749,0.297139823,0.00730292,0.023454767,0.001064033,0.063076481,0.020959955,0.264195144,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex0news,-0.100000001,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002938767,0.42114386,2.03E-05,0.000161037,3.41E-05,2.86E-05,0.00039717,0.00015204,0.044922151,0.496037871,0.000471613,0.027907433,0.000326723,8.34E-05,0.005000836,0.000374147,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Sim1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008792797,0.154408365,0.021583512,0.040721443,0.001762862,0.056908939,0.016567823,0.004804919,0.000128934,0.081172563,0.001626558,0.406495005,0.000101935,0.027532887,0.118705943,0.058685578,0,0,0,0,0,0,0,0,0,0,0,0,0
Babycraj,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18E-05,4.81E-06,0.002231078,0.013797993,0.000307763,0.000272559,0.003530693,0.010036954,0.002560864,0.150453523,0.008390316,0.770104349,9.37E-05,0.000558839,0.02212565,0.015509167,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutelle_,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99E-06,0.006873894,0.004634005,0.02300733,1.27E-05,0.000362788,0.014448464,0.000828125,0.016540617,0.920827746,0.000974787,0.001796997,7.16E-06,5.96E-05,0.006882202,0.002739697,0,0,0,0,0,0,0,0,0,0,0,0,0
ChickenGlazed,-0.200000003,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-07,0.000280057,7.67E-07,0.004275038,4.84E-05,6.71E-06,0.001210278,0.002597337,6.03E-06,0.011438761,1.69E-05,0.967356026,4.65E-06,0.000601368,7.39E-05,0.01208313,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptikz__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000801174,0.027729858,0.001904516,0.008349982,2.43E-05,0.050203618,0.00561733,0.012384131,0.680288792,0.000866618,0.077237129,0.002818751,0.000762624,0.004827022,0.000131153,0.12605302,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_GamingDeals,0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-07,3.13E-05,1.18E-06,1.44E-05,2.40E-06,2.14E-06,0.000200583,0.000181606,1.10E-06,0.001335041,1.14E-05,0.000647191,8.88E-07,0.000214823,0.084469497,0.912886202,0,0,0,0,0,0,0,0,0,0,0,0,0
DatFucknSoap,0.200000003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000433837,0.007997585,0.00407236,0.013256028,0.000494213,0.042417329,0.001996707,0.101517648,0.047686126,0.00106568,0.00281495,0.473339885,0.000165316,0.002848066,0.038756516,0.261137754,0,0,0,0,0,0,0,0,0,0,0,0,0
