Username,sentiment,American Football,Apparel,Arts & Entertainment,Autos & Vehicles,Basketball,Beauty & Fitness,Beverages,Books & Literature,Business & Industrial,Business Services,Candy & Sweets,Celebrities & Entertainment News,Computer & Video Games,Computer Hardware,Computers & Electronics,Consumer Electronics,Cooking & Recipes,Education,Energy & Utilities,Events & Listings,Face & Body Care,Family & Relationships,Finance,Food,Food & Drink,Gambling,Game Systems & Consoles,Games,Gifts & Special Event Items,Government,Health,Health Conditions,Hobbies & Leisure,Holidays & Seasonal Events,Home & Garden,Humor,Individual Sports,Internet & Telecom,Jobs & Education,Law & Government,Medical Facilities & Services,Military,Mobile & Wireless,Mobile Apps & Add-Ons,Mobile Phones,Movies,Music & Audio,News,Online Communities,Online Media,Online Video,People & Society,Pets,Pets & Animals,Politics,Public Safety,Reference,Religion & Belief,Restaurants,Science,Sensitive Subjects,Shopping,Snack Foods,Soccer,Social Issues & Advocacy,Software,Special Occasions,Sports,Sports News,TV & Video,TV Shows & Programs,Team Sports,Travel,Urban & Hip-Hop,INFJ,ENTP,INTP,INTJ,ENTJ,ENFJ,INFP,ENFP,ISFP,ISTP,ISFJ,ISTJ,ESTP,ESFP,ESTJ,ESFJ,Credit & Lending,Cricket,Currencies & Foreign Exchange,Infectious Diseases,Lottery,Merit Prizes & Contests,Service Providers,Accounting & Auditing,Banking,Baseball,Home Appliances,Home Furnishings,Kitchen & Dining
Enslaved2G,-0.100000001,0,0,34,1,0,1,0,0,0,0,0,0,13,0,4,1,0,0,0,0,0,0,4,0,0,0,0,22,0,0,4,1,2,0,0,0,0,5,0,0,0,0,2,1,0,0,1,0,2,7,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.61E-06,0.001329932,0.002389659,5.07E-05,0.000142385,1.02E-05,0.024781367,3.07E-07,5.09E-05,0.015364712,6.44E-05,1.37E-06,0.000261234,0.000229155,0.955300033,2.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
FrankIngaroca,0.300000012,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.60E-06,0.000174272,0.00030324,0.000760551,5.10E-05,0.00952882,0.169786438,0.010607461,0.000116127,0.005801157,0.000110596,0.619429827,2.81E-06,0.015367729,0.058408622,0.109543711,0,0,0,0,0,0,0,0,0,0,0,0,0
Frictiox_O,0.100000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003797474,0.000179069,0.000123582,0.484836698,1.99E-05,6.52E-05,2.15E-05,0.000944063,0.498178244,1.02E-05,2.31E-05,6.02E-05,0.000597912,7.00E-05,6.06E-06,0.011066919,0,0,0,0,0,0,0,0,0,0,0,0,0
GoldDoggyLIVE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048371259,0.14162083,0.00134645,0.069593064,0.000198672,0.0014577,0.003401143,0.003554621,0.009250266,0.249147579,0.102336936,0.027374702,0.004030651,0.015207929,0.000788184,0.322319984,0,0,0,0,0,0,0,0,0,0,0,0,0
IfanMeredith,-0.800000012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002200864,0.21404168,0.004661234,0.00621224,0.000636836,0.00184402,0.00241181,0.006105011,0.147578791,0.081867121,0.216001466,0.086263113,0.002697643,0.007631561,0.051364478,0.16848211,0,0,0,0,0,0,0,0,0,0,0,0,0
KatieHa15177090,0.400000006,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00050779,0.028184468,0.015179989,0.003762249,0.002633504,0.049495604,0.114763007,0.000455108,0.141446918,0.581852138,0.000560267,0.001175541,0.054264922,0.000375327,0.005193937,0.000149344,0,0,0,0,0,0,0,0,0,0,0,0,0
KavishPatil9,0.100000001,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15E-06,4.26E-05,1.90E-05,0.000227265,0.003446081,0.000232148,8.45E-05,0.001408928,0.000129586,3.16E-07,4.05E-06,0.920799613,3.73E-05,0.001274643,0.026848976,0.045435943,0,0,0,0,0,0,0,0,0,0,0,0,0
MCForeignPolicy,0,0,1,44,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,2,0,1,6,1,0,0,0,0,0,0,14,1,1,2,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,1.09E-06,4.28E-06,1.26E-05,6.43E-06,7.68E-06,5.79E-05,1.83E-05,5.82E-06,0.003914547,0.986685634,1.95E-05,0.001690749,0.000226175,3.88E-06,0.006135616,0.001209841,0,0,0,0,0,0,0,0,0,0,0,0,0
Moater_Boater,0.200000003,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.000134121,0.000331212,0.001937375,0.000414231,6.90E-05,0.000813136,0.01207937,0.001438296,0.248222113,0.347444147,0.203755543,0.000970515,0.000560501,0.02164658,0.012014514,0.148169413,0,0,0,0,0,0,0,0,0,0,0,0,0
NankNanda99,0.300000012,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1.81E-06,0.001086619,0.000186532,0.787348449,2.60E-05,7.33E-06,3.16E-05,3.16E-05,0.003034818,0.184016809,1.39E-05,0.00158205,2.35E-05,0.000123629,0.000187789,0.022297397,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Plagues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.93E-05,0.000331445,0.00034255,0.011739858,4.68E-05,0.000403069,0.00026756,0.077355899,0.0148657,0.636012077,0.226996899,0.001388405,0.000624824,0.00052236,8.71E-05,0.02894602,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestonSnowden,0.200000003,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,18,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.93E-06,3.63E-05,1.01E-06,1.04E-06,7.58E-06,1.06E-05,1.76E-05,2.10E-06,0.00909314,0.990279078,0.000187705,6.44E-05,1.32E-06,6.77E-05,0.000208725,1.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
RealDupre,0,1,0,78,1,0,2,0,1,1,0,0,0,11,5,14,2,1,0,0,0,0,1,0,0,2,0,1,33,0,0,5,1,0,0,0,0,0,2,1,2,1,1,1,0,1,3,5,2,7,24,9,6,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,3,0,14,2,3,3,1,1.98E-05,0.000451359,0.000204483,0.00043436,0.000117907,3.88E-05,4.01E-05,5.16E-07,6.30E-05,0.995062411,3.73E-06,2.55E-05,0.003353258,0.000117384,6.64E-05,9.33E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
Rokkienkeli,0,0,4,41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,0,0,0,1,0,0,0,0,0,0,0,15,1,1,1,0,3,0,1,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4.30E-05,0.483735919,1.52E-05,0.000361685,5.76E-06,0.000414973,0.000429094,5.24E-05,1.03E-05,0.005323683,1.98E-05,0.000728383,1.91E-05,0.000357511,0.220702738,0.287780404,0,0,0,0,0,0,0,0,0,0,0,0,0
SailorGrae,0.300000012,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15E-06,0.002623382,4.93E-06,2.25E-05,1.80E-05,0.000331719,0.000182136,0.00056298,0.000162625,0.959304631,0.020261984,0.00514941,3.99E-05,0.000208451,0.009006664,0.002117408,0,0,0,0,0,0,0,0,0,0,0,0,0
SakaHystalker,0.200000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61E-05,1.15E-06,3.20E-07,4.64E-07,3.49E-06,2.18E-06,8.27E-07,2.10E-06,0.001154131,0.998689234,1.58E-07,6.05E-06,8.53E-06,6.11E-05,3.27E-06,5.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergej38628875,-0.300000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219707,0.056772713,3.06E-06,0.000200917,4.52E-06,6.58E-05,7.09E-05,0.000183579,0.746485114,0.19438535,7.26E-05,0.001115374,3.90E-05,2.34E-05,0.00024401,0.00011387,0,0,0,0,0,0,0,0,0,0,0,0,0
SleepyPanda_7,0.300000012,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6.18E-06,0.001318392,0.002038676,0.001329437,0.005556061,0.000500537,0.035418928,7.11E-05,0.002424732,0.00781211,7.45E-05,0.000989109,0.000790323,0.86823678,0.029912734,0.04352038,0,0,0,0,0,0,0,0,0,0,0,0,0
Snahccy,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8.16E-05,0.016140409,0.000162581,0.000190352,2.01E-06,8.35E-05,6.46E-05,7.21E-06,0.000116475,0.982304037,1.84E-05,0.000151552,7.85E-06,4.60E-06,3.87E-05,0.00062578,0,0,0,0,0,0,0,0,0,0,0,0,0
SnakePiercy,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00532299,0.10069833,0.003102038,0.014979491,0.000764191,0.001362256,0.001734149,0.008738493,0.180916592,0.17274037,0.146304101,0.246938348,0.001615216,0.006549307,0.009564077,0.098670103,0,0,0,0,0,0,0,0,0,0,0,0,0
SnipersLaww,-0.200000003,0,0,71,2,0,0,4,0,3,0,0,0,86,2,71,45,2,0,0,0,0,0,0,3,10,0,35,103,0,0,0,0,6,0,1,1,0,9,0,2,0,0,3,2,1,0,5,1,11,14,4,1,0,3,1,0,2,1,1,1,4,0,0,0,0,9,0,0,0,9,3,0,3,0,1.20E-05,0.002534315,9.10E-06,0.004518469,0.000654637,0.000262222,0.000233615,0.000124121,0.000111836,0.537504256,0.00132567,0.384787351,0.000173852,0.000346125,0.045979168,0.021423329,0,0,0,0,0,0,0,0,0,0,0,0,0
SobbyQuiet,-0.100000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.91E-07,0.000585807,0.000105874,0.001094323,0.000113224,0.000227583,0.002704086,0.000917249,0.000977708,0.004222369,0.005924432,0.001923634,2.55E-05,0.012013182,0.112029307,0.857135117,0,0,0,0,0,0,0,0,0,0,0,0,0
SpoderBrad,0,0,0,17,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,1,2.57E-05,0.001267914,7.01E-05,0.000153603,4.32E-05,0.007859543,0.004044408,0.002032349,0.005556614,0.800628841,0.001455247,0.027852057,0.000122176,0.001499474,0.046560593,0.100828104,0,0,0,0,0,0,0,0,0,0,0,0,0
Squidward7388,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007215844,0.28924489,0.006501193,0.009867274,0.001073829,0.002039451,0.001890995,0.004998553,0.270267904,0.07688389,0.106339484,0.067019247,0.003421878,0.007548889,0.027378878,0.118307859,0,0,0,0,0,0,0,0,0,0,0,0,0
StereoSteveo,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.008953619,0.251173198,0.00568442,0.011004874,0.001147571,0.001555433,0.00179202,0.004671647,0.319538623,0.10927029,0.099562153,0.064535655,0.004209682,0.007576576,0.017413687,0.091910556,0,0,0,0,0,0,0,0,0,0,0,0,0
TECHSUPPORT800,-0.100000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-07,1.84E-06,6.93E-08,1.38E-05,9.43E-06,1.88E-06,2.76E-07,6.04E-07,6.23E-08,0.000160914,0.00011097,0.999675274,5.76E-07,4.38E-06,3.42E-06,1.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
TankistaE,0.100000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000376443,0.003345565,9.30E-05,0.01964118,0.00052826,0.033012483,0.019283362,0.005148499,0.00682384,0.288054675,0.003545481,0.136896774,0.000725344,0.289240897,0.18859905,0.004685191,0,0,0,0,0,0,0,0,0,0,0,0,0
Techandhardware,0.300000012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288054,0.238949493,0.002705908,0.186241582,0.000380892,0.001362922,0.004284587,0.00230449,0.309212565,0.175595641,0.075064212,0.000476953,0.000667513,0.000742142,0.001469001,0.000254069,0,0,0,0,0,0,0,0,0,0,0,0,0
Thabiso_Ephile,-0.300000012,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23,1,0,0,20,0,0,0.0012266,0.001404403,0.000303317,0.004366269,0.005983232,0.000645354,0.006114761,0.004108953,0.01577705,0.142775536,0.005286636,0.20803234,0.003585912,0.597284138,0.00138324,0.001722298,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSmaea,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006324005,0.159269482,0.014950915,0.018994082,0.000806084,0.004164996,0.003984586,0.014867811,0.14078325,0.105680525,0.181789488,0.097458608,0.002650314,0.006282621,0.022519173,0.219474062,0,0,0,0,0,0,0,0,0,0,0,0,0
TolliGaming,0,0,0,30,0,0,0,0,2,1,0,0,0,14,0,10,5,0,0,0,0,0,0,0,0,0,0,4,20,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,3,5,0,0,5,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.14E-08,8.33E-05,2.31E-06,0.000238191,4.25E-06,9.00E-06,2.34E-05,9.91E-06,5.82E-07,0.981057167,5.95E-05,0.018300932,5.59E-07,6.16E-06,5.73E-05,0.000147588,0,0,0,0,0,0,0,0,0,0,0,0,0
TqAU_,-0.600000024,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39E-05,5.04E-06,0.000232194,0.995915353,3.52E-06,2.27E-06,2.82E-06,0.000417365,0.003101333,1.53E-05,1.95E-07,3.38E-05,7.19E-06,4.31E-05,3.02E-06,0.000203708,0,0,0,0,0,0,0,0,0,0,0,0,0
WhippetEsports,0.300000012,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.37E-08,1.27E-05,2.78E-05,6.26E-05,7.12E-05,0.000184313,0.000117117,4.81E-05,1.44E-06,1.67E-05,1.80E-06,0.972827077,3.39E-07,0.008851109,0.005803215,0.011974226,0,0,0,0,0,0,0,0,0,0,0,0,0
