,Username,sentiment
105,ArmandoYepez6,
106,Arsalwnm,
107,ArsenijAhmadal1,
108,ArshadbalochPTI,
109,AruArzan,
110,ArwynBurrowes,
111,AryanParekh1117,
112,ArzoMike,
113,AsamaRani03,
114,AshiqBh48137016,
115,AshmitSardiwal,
116,Ashok85774515,
117,Ashwaq7008,
118,AsifKhanAdnan,
119,AsraPVP,
120,AtayHashus,
121,AustinJimmy3,
122,AutaShagi,
123,AviShoumik,
124,Avishek2308,
125,Ayaazkh18,
126,AymanHis,
127,AyoobAlpha,
128,BALAM79543533,
129,BASILEL67272711,
130,BChiwandu,
131,BO8178,
132,BSagnoh,
133,BabbuKuk,
134,BadMUTerEffer,
135,BakhshiAmirrr,
136,Bala89647456,
137,BallsDeeptheone,
138,BanjoThreeie87,
139,BarbieJ91218222,
140,BartekWerty,
141,BasuNarendra1,
142,Bbrasays,
143,BeHappy43941041,
144,Beerbabaaa,
145,Bhabin070,
146,Bhavika92304708,
147,BhunnooAthar,
148,BigmanShawn_,
149,BillCjcbill,
150,BohdanMykytey,
151,Bonanilaskar27,
152,BorgeadvAlvaro,
153,BoubouRahim,
154,Brandonedwards,
155,Brau_23,
156,Brayanluis262,
157,Brayden__Stark,
158,Bruncastell58,
159,BtsSafoo,
160,BtvMatthew,
161,BundyNurhyeal,
162,BunthaiMeas,
163,CAngulomorales,
164,CHANDRASHISH17,
165,CHW4everyone,
166,CadburyAchu,
167,CalebConner_AL,
168,CamTajik,
169,Camilesuc,
170,CamiloAventure,
171,CapXcV66GFN59HA,
172,CarlosZ80803050,
173,Carlosm12160314,
174,Carlosmusico22,
175,CarolineNyazika,
176,Carterwood22,
177,CaseyKco,
178,CassieEdwardso5,
179,CatalystEx,
180,CesarE0423,
181,Chandru033,
182,CharlesMukalaz1,
183,Charlot27694242,
184,ChernetTerefe3,
185,CherryiesR,
186,Chi22642650,
187,ChonghaoZhao,
188,Chrisdraxler59,
189,Christo09512223,
190,Citlali28062346,
191,Claudio_Ciccone,
192,Claus_Discher,
193,ClumsyCigars,
194,Comrhyper,
195,CrystalRoubiqu7,
196,CyberDelcapone,
197,DARKWAGEORGEAT1,
198,DMac9965,
199,DOCTOR_0911AJEJ,
