Datetime,Tweet Id,Text,Username,company_name
2022-03-05 14:01:08+00:00,'1500109155855749124,@SVSNFT @KaijuFrenz @AllisonMarker13 @Rebecca29938557 @Barbara29174521,BiancaG52230340,Acer
2022-03-05 09:41:22+00:00,'1500043783911714817,@FishmansLabs @PamelaR58381334 @zlyudova1 @STrifimova,BiancaG52230340,Acer
2022-03-04 19:47:56+00:00,'1499834043688439822,@theothersideNFT @SUPRIMEnft @TOS_Moonpods @EricaGr93297975 @NinaRob15756687 @JamieValles13,BiancaG52230340,Acer
2022-03-03 22:53:37+00:00,'1499518385859837952,@theothersideNFT @eyesofignolia @TOS_Moonpods @KimRay71581110 @STrifimova @GabyPeters6,BiancaG52230340,Acer
2022-03-03 18:30:11+00:00,'1499452090673942529,@ZenApeNFT @KaijuFrenz @FishelStacie @bolomutovav @BadzhanzMona,BiancaG52230340,Acer
2022-02-14 19:21:03+00:00,'1493304298582773767,Mis 4 ojos solo te miran a ti 🌹,faz_rule,Acer
2022-01-04 00:59:07+00:00,'1478169086316187654,❤️❤️❤️❤️❤️ https://t.co/RHwlHq95cl,faz_rule,Acer
2021-12-03 06:00:01+00:00,'1466648397402849285,¿Necesidad de llevar build troll? https://t.co/rF1SvvVzVO,faz_rule,Acer
2022-01-09 22:28:25+00:00,'1480305487405064209,@ContemporaryVA Virtual? https://t.co/gpxVkak1u3 is a must.,HartHartus,Acer
2022-01-09 22:26:09+00:00,'1480304917000634371,"@ElevatedAssist Virtual? Research https://t.co/nZZXnX0rob 
https://t.co/0rrbtZqdvI encryption is a must!",HartHartus,Acer
2021-12-21 13:42:24+00:00,'1473287742666780679,@ananavarro @gayguycandleco Why would anyone want to inhale dirty Covid breath. Mask it or Casket!,HartHartus,Acer
2021-12-19 01:24:11+00:00,'1472377188477509638,@MaryLTrump Why would anyone want to breathe in dirty Covid breath? Mask it or Casket.,HartHartus,Acer
2021-11-23 00:51:43+00:00,'1462946931626360840,"@CNN Watch ""My Octopus Teacher"" on Netflix. The animal welfare laws should be worldwide.",HartHartus,Acer
2021-11-20 22:14:15+00:00,'1462182529654571009,@Zendesk You say remote? Zendesk should research a possible partner. Strikeforce Technologies with its software made in the USA. Virtual look into https://t.co/0rrbtZqdvI,HartHartus,Acer
2021-11-20 22:06:25+00:00,'1462180558411378698,@_javelynn_ @ZohoMeeting @Zoom @BlueJeansNet @GoToMeeting @bigmarker @pexip @clickmeeting @AdobeConnect Virtual you say! Research Strikeforce Technologies with it's software https://t.co/0rrbtZqdvI made in the USA.,HartHartus,Acer
2021-11-20 22:02:42+00:00,'1462179622511169541,@GoToMeeting Remote you say! Research StrikeForce Technologies and it's https://t.co/0rrbtZqdvI products made in the USA.,HartHartus,Acer
2021-11-20 21:59:39+00:00,'1462178855234514946,@clickmeeting That's true! Video conferencing has exploded. Research https://t.co/0rrbtZqdvI made by Strikeforce Technologies a cybersecurity company with it's software made in the USA.,HartHartus,Acer
2021-11-18 18:38:48+00:00,'1461403535120244744,@workstatusapp Remote - https://t.co/nZZXnX0rob is a must!,HartHartus,Acer
2021-11-12 23:01:14+00:00,'1459295250585989128,@MoonMarket_ Forgot SFOR,HartHartus,Acer
2022-03-05 12:25:52+00:00,'1500085181419429888,🐳Float https://t.co/RE3GHMu6mA,tigertickle,Acer
2022-03-02 02:06:15+00:00,'1498842087001042945,@kriankuan 😂 แค่ตื่นก็หมดแรงแล้วครับ https://t.co/8BAn13Ty5M,tigertickle,Acer
2022-03-02 01:53:54+00:00,'1498838981446090752,I’m out of energy😅 https://t.co/LlAppxlCam,tigertickle,Acer
2022-02-20 13:21:51+00:00,'1495388230749138948,Just be sure to sleep… but it better than no sleep😊 https://t.co/kPGaMSraTR,tigertickle,Acer
2022-02-20 04:53:42+00:00,'1495260350694199296,@NewBlaCX Fusion🐰=🐻‍❄️ https://t.co/RqZ7Hxb7RW,tigertickle,Acer
2022-02-20 03:44:14+00:00,'1495242865689378821,@khynum ง่าา มุมนี้ไม่ได้หรออ🥺 https://t.co/QXfUCjPcqM,tigertickle,Acer
2022-02-17 06:21:27+00:00,'1494195269751406595,Usagyuuun!!!🤍 #うさぎゅーん https://t.co/iROLjJAtgh,tigertickle,Acer
2022-02-16 17:03:03+00:00,'1493994343845482497,Please stop do it again 🤣 I do… https://t.co/AXpRPoN7lC,tigertickle,Acer
2022-02-16 15:41:34+00:00,'1493973839398993921,Swollen🤔 https://t.co/aKN986tzaD,tigertickle,Acer
2022-02-15 14:39:26+00:00,'1493595812836036611,Squeeze💦 https://t.co/SCighqhFzQ,tigertickle,Acer
